,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
0,1338305,2,9000000,56.4,35.1,7.0,8.942095978708867,22.0,1,1,1,0,2,5.0,0
1,1535194,2,52000000,92.0,42.0,18.0,5.830753737260722,1.0,1,1,0,0,2,30.0,0
2,1711530,2,6500000,44.5,28.0,6.0,13.74100614242944,13.0,1,0,1,0,7,9.0,0
3,1838610,3,6600000,52.3,36.1,6.0,16.486720760171195,10.0,0,1,1,0,1,5.0,0
4,1986554,3,13200000,80.4,54.8,8.6,7.735389025005125,10.0,0,1,1,1,7,8.0,0
5,2292702,3,15000000,73.5,45.0,10.0,13.470485714014647,9.0,1,0,0,1,13,17.0,0
6,2343853,3,9700000,70.4,48.3,7.0,6.834288900594352,12.0,1,1,1,1,5,6.0,0
7,2464298,1,14500000,58.0,25.0,15.0,11.137223989714991,12.0,1,1,0,1,8,18.0,0
8,2515421,5,19000000,130.0,90.0,8.0,11.27282827198324,17.0,1,1,1,0,1,5.0,0
9,2547927,6,90000000,400.0,300.0,50.0,13.281682851862655,9.0,1,1,1,1,19,19.0,0
10,2621950,3,105000000,148.0,98.0,13.0,6.818785501069452,9.0,1,0,1,0,4,10.0,0
11,2684980,3,15000000,82.0,60.0,8.0,7.8018288384292545,2.0,0,1,0,1,6,8.0,0
12,2721689,3,12100000,78.0,48.0,10.0,15.625352142489369,7.0,1,0,1,1,14,17.0,0
13,2793533,1,20800000,77.0,30.0,30.0,11.967088219766326,5.0,1,0,0,0,20,35.0,0
14,2800725,3,7500000,55.6,39.0,6.0,13.451351390226877,7.0,1,1,1,1,3,4.0,0
15,2861831,6,100000000,330.0,,,13.281682851862655,9.0,1,1,1,1,19,20.0,0
16,2902747,3,11500000,66.0,48.0,8.0,11.856792893497166,7.0,1,1,1,0,2,4.0,0
17,3043873,2,14000000,59.0,30.0,15.0,6.8506435941646,10.0,1,1,0,1,5,5.0,0
18,3134689,4,22300000,90.9,56.1,13.6,8.887397796800565,8.0,1,1,0,0,3,8.0,0
19,3142739,3,6990000,50.0,35.0,6.0,14.39541301909982,5.0,0,0,1,1,2,9.0,0
20,3160714,3,13950000,98.0,58.9,10.0,15.981568390101051,4.0,0,0,1,1,2,9.0,0
